Funding Organization,FY,A1. Amyloid,A2. Tau,A3. Presenilins,A4. ApoE and Lipids,A5. Brain Circuits and Synapses,A6. Cell Death,A7. Immunity and Inflammation,A8. Bioenergetics,A9. Vascular/ Metabolic Factors,A10. Hormones,A11. Genetics,A12. Other Pathogenic Mechanisms,A. Molecular Pathogenesis and Physiology of Alzheimer's Disease (Total Funding),B1. Fluid Biomarkers,B2. Imaging Biomarkers,"B3. Cognitive, Behavioral and Functional Assessment",B4. Multimodal Biomarkers,B5. Novel Biomarkers,B6. Novel Methodologies and Techniques,B7. Other,"B. Diagnosis, Assessment and Disease Monitoring (Total Funding)",C1. Drug Discovery (small molecules and biologics) ,C2. Preclinical Drug Development (small molecules and biologics) ,C3. Preclinical Proof of Concept for Non-Pharmacological Interventions ,C4. Clinical Trial Design,C5. Early stage Clinical Drug Development (Phase I and II Clinical Trials),C6. Late Stage Clinical Drug Development  (Phase III Clinical Trials) ,C7. Non-Pharmacological Interventions: Clinical Trials ,C8. Clinical Therapy Development for the Neuropsychiatric Symptoms of AD,C9. Clinical Ethics,C10. Other,C. Translational Research and Clinical Interventions (Total Funding),D1. Genetic/ Epigenetic Risks,D2. Cardiovascular and Metabolic Factors,D3. Nutrition and Other Environmental Factors,D4. Multimodal Risk Factors,D5. Other,D. Epidemiology (Total Funding),E1. Care Interventions and Quality of Life,E2. Technology Assisted Care,E3. Caregiver Support,E4. Cultural Values and Beliefs,E5. Economic Burden of Alzheimer's Disease,E6. Other,"E. Care, Support and Health Economics of Alzheimer's Disease (Total Funding)",Total AD Research Funding
Fogarty International Center (NIH/FIC),2008,,,,,,,50158.00,,,,,,50158.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50158.00
Fogarty International Center (NIH/FIC),2009,,57904.00,,,,,50309.00,,,,,,108213.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108213.00
Fogarty International Center (NIH/FIC),2010,,57904.00,,,,,83296.00,,,,,,141200.00,,,,,,,,,,,,,,,,,,,,,,,142591.00,,142591.00,,,,,,,,283791.00
Fogarty International Center (NIH/FIC),2011,,57325.00,,,,,103526.00,,,,,,160851.00,,,,,,,,,70352.00,,,,,,,,,,70352.00,,,,126850.00,,126850.00,,,162170.00,,,,162170.00,520223.00
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2008,,,,,,,,1451.00,,,,,1451.00,,,,,127778.00,,,127778.00,,,1487591.00,,,,1993071.00,,,,3480662.00,,,,,,,297230.00,,215887.00,,,278688.00,791805.00,4401696.00
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2009,,,,,,,,,,,,,,,,,,127778.00,,,127778.00,,,1625379.00,,,,147530.00,,,,1772909.00,,,,,,,288941.00,,182738.00,,,159250.00,630929.00,2531616.00
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2010,,,,,,,,,,,,,,,,,,127778.00,,,127778.00,,,1512632.00,,,,241601.00,,,,1754233.00,,,,,,,,,,,,,,1882011.00
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2011,,,,,,,,,,,,,,,,,,127778.00,,,127778.00,,,1546349.00,,,,,,,,1546349.00,,266871.00,,,,266871.00,,,,,,,,1940998.00
National Cancer Institute (NIH/NCI),2008,488214.00,,,,,,409830.00,,,,471264.00,63893.00,1433201.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433201.00
National Cancer Institute (NIH/NCI),2009,1261930.00,,,,,,385579.00,,,,202788.00,64278.00,1914575.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914575.00
National Cancer Institute (NIH/NCI),2010,1069094.00,,,,,,462576.00,,,,,68636.00,1600306.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600306.00
National Cancer Institute (NIH/NCI),2011,642558.00,,,,,,443620.00,,,,,,1086178.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086178.00
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2008,,,219658.00,,,,,,,,,,219658.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219658.00
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2010,,,219658.00,,,,,,,,,,219658.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219658.00
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Center for Research Resources (NIH/NCRR),2008,27873.00,,,104123.00,,,,,,,,,131996.00,,,35600.00,,,,,35600.00,,,,,,,,,,,,,,,10305.00,,10305.00,,,,,,,,177901.00
National Center for Research Resources (NIH/NCRR),2009,67637.00,,,106598.00,,,,,,,,,174235.00,,,54800.00,,,,,54800.00,,,,,,,,,,,,,,,3406.00,,3406.00,,,,,,,,232441.00
National Center for Research Resources (NIH/NCRR),2010,11066.00,,,,,,,190270.00,,,,,201336.00,,1034435.00,54827.00,216047.00,,,,1305309.00,,,,,,,,,,,,,,,3039.00,,3039.00,,,,,,,,1509684.00
National Center for Research Resources (NIH/NCRR),2011,15376.00,,,,,,,101886.00,,,,,117262.00,,,41159.00,,,,,41159.00,,,,,,,,,,,,,43647.00,,,,43647.00,,,,,,,,202068.00
National Eye Institute (NIH/NEI),2008,,,,,,,230790.00,,,,,,230790.00,,,,,,,266315.00,266315.00,,,,,,,,,,,,,,,,,,,,,,,,,497105.00
National Eye Institute (NIH/NEI),2009,,,,,,,,,,,,,,,,,,,,271750.00,271750.00,,,,,,,,,,,,,,,,,,,,,,,,,271750.00
National Eye Institute (NIH/NEI),2010,,,,,,,,,,,,,,,,,,,,269033.00,269033.00,,,,,,,,,,,,,,,,,,,,,,,,,269033.00
National Eye Institute (NIH/NEI),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Human Genome Research Institute (NIH/NHGRI),2008,,,,,,,,,,,1206780.00,,1206780.00,,,,,,572870.00,,572870.00,,,,,,,,,,,,,,,,,,,,,,,,,1779650.00
National Human Genome Research Institute (NIH/NHGRI),2009,,,,,,,,,,,1158136.00,,1158136.00,,,,,,362180.00,,362180.00,,,,,,,,,,,,,,,,,,,,,,,,,1520316.00
National Human Genome Research Institute (NIH/NHGRI),2010,,,,,,,,,,,889184.00,,889184.00,,,,,,601513.00,,601513.00,,,,,,,,,,,,,,,,,,,,,,,,,1490697.00
National Human Genome Research Institute (NIH/NHGRI),2011,,,,,,,,,,,,,,,,,,,596485.00,,596485.00,,,,,,,,,,,,,,,,,,,,,,,,,596485.00
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2008,16074.00,,,705652.00,,1356108.00,,,,,359270.00,,2437104.00,,,,378303.00,,,,378303.00,,,,,,,,,,,,,,,,,,,,,,,,,2815407.00
