FundingOrganization,FY,A1. Amyloid,A2. Tau,A3. Presenilins,A4. ApoE and Lipids,A5. Brain Circuits and Synapses,A6. Cell Death,A7. Immunity and Inflammation,A8. Bioenergetics,A9. Vascular/ Metabolic Factors,A10. Hormones,A11. Genetics,A12. Other Pathogenic Mechanisms,A. Molecular Pathogenesis and Physiology of Alzheimer's Disease (Total Funding),B1. Fluid Biomarkers,B2. Imaging Biomarkers,"B3. Cognitive, Behavioral and Functional Assessment",B4. Multimodal Biomarkers,B5. Novel Biomarkers,B6. Novel Methodologies and Techniques,B7. Other,"B. Diagnosis, Assessment and Disease Monitoring (Total Funding)",C1. Drug Discovery (small molecules and biologics) ,C2. Preclinical Drug Development (small molecules and biologics) ,C3. Preclinical Proof of Concept for Non-Pharmacological Interventions ,C4. Clinical Trial Design,C5. Early stage Clinical Drug Development (Phase I and II Clinical Trials),C6. Late Stage Clinical Drug Development  (Phase III Clinical Trials) ,C7. Non-Pharmacological Interventions: Clinical Trials ,C8. Clinical Therapy Development for the Neuropsychiatric Symptoms of AD,C9. Clinical Ethics,C10. Other,C. Translational Research and Clinical Interventions (Total Funding),D1. Genetic/ Epigenetic Risks,D2. Cardiovascular and Metabolic Factors,D3. Nutrition and Other Environmental Factors,D4. Multimodal Risk Factors,D5. Other,D. Epidemiology (Total Funding),E1. Care Interventions and Quality of Life,E2. Technology Assisted Care,E3. Caregiver Support,E4. Cultural Values and Beliefs,E5. Economic Burden of Alzheimer's Disease,E6. Other,"E. Care, Support and Health Economics of Alzheimer's Disease (Total Funding)",TotalADResearchFunding
Fogarty International Center (NIH/FIC),2008,0,0,0,0,0,0,50158,0,0,0,0,0,50158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50158
Fogarty International Center (NIH/FIC),2009,0,57904,0,0,0,0,50309,0,0,0,0,0,108213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108213
Fogarty International Center (NIH/FIC),2010,0,57904,0,0,0,0,83296,0,0,0,0,0,141200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142591,0,142591,0,0,0,0,0,0,0,283791
Fogarty International Center (NIH/FIC),2011,0,57325,0,0,0,0,103526,0,0,0,0,0,160851,0,0,0,0,0,0,0,0,70352,0,0,0,0,0,0,0,0,0,70352,0,0,0,126850,0,126850,0,0,162170,0,0,0,162170,520223
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2008,0,0,0,0,0,0,0,1451,0,0,0,0,1451,0,0,0,0,127778,0,0,127778,0,0,1487591,0,0,0,1993071,0,0,0,3480662,0,0,0,0,0,0,297230,0,215887,0,0,278688,791805,4401696
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127778,0,0,127778,0,0,1625379,0,0,0,147530,0,0,0,1772909,0,0,0,0,0,0,288941,0,182738,0,0,159250,630929,2531616
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127778,0,0,127778,0,0,1512632,0,0,0,241601,0,0,0,1754233,0,0,0,0,0,0,0,0,0,0,0,0,0,1882011
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127778,0,0,127778,0,0,1546349,0,0,0,0,0,0,0,1546349,0,266871,0,0,0,266871,0,0,0,0,0,0,0,1940998
National Cancer Institute (NIH/NCI),2008,488214,0,0,0,0,0,409830,0,0,0,471264,63893,1433201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433201
National Cancer Institute (NIH/NCI),2009,1261930,0,0,0,0,0,385579,0,0,0,202788,64278,1914575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914575
National Cancer Institute (NIH/NCI),2010,1069094,0,0,0,0,0,462576,0,0,0,0,68636,1600306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600306
