Funding Organization,FY,Total AD Research Funding
Fogarty International Center (NIH/FIC),2008,"$50,158"
Fogarty International Center (NIH/FIC),2009,"$108,213"
Fogarty International Center (NIH/FIC),2010,"$283,791"
Fogarty International Center (NIH/FIC),2011,"$520,223"
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2008,"$4,401,696"
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2009,"$2,531,616"
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2010,"$1,882,011"
National Center for Complementary and Alternative Medicine (NIH/NCCAM),2011,"$1,940,998"
National Cancer Institute (NIH/NCI),2008,"$1,433,201"
National Cancer Institute (NIH/NCI),2009,"$1,914,575"
National Cancer Institute (NIH/NCI),2010,"$1,600,306"
National Cancer Institute (NIH/NCI),2011,"$1,086,178"
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2008,"$219,658"
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2009,
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2010,"$219,658"
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2011,
National Center for Research Resources (NIH/NCRR),2008,"$177,901"
National Center for Research Resources (NIH/NCRR),2009,"$232,441"
National Center for Research Resources (NIH/NCRR),2010,"$1,509,684"
National Center for Research Resources (NIH/NCRR),2011,"$202,068"
National Eye Institute (NIH/NEI),2008,"$497,105"
National Eye Institute (NIH/NEI),2009,"$271,750"
National Eye Institute (NIH/NEI),2010,"$269,033"
National Eye Institute (NIH/NEI),2011,
National Human Genome Research Institute (NIH/NHGRI),2008,"$1,779,650"
National Human Genome Research Institute (NIH/NHGRI),2009,"$1,520,316"
National Human Genome Research Institute (NIH/NHGRI),2010,"$1,490,697"
National Human Genome Research Institute (NIH/NHGRI),2011,"$596,485"
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2008,"$2,815,407"
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2009,"$3,012,281"
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2010,"$4,524,535"
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2011,"$4,967,124"
National Institute on Aging (NIH/NIA),2008,"$205,461,171"
National Institute on Aging (NIH/NIA),2009,"$278,834,334"
National Institute on Aging (NIH/NIA),2010,"$279,019,241"
National Institute on Aging (NIH/NIA),2011,"$231,259,198"
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2008,
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2009,
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2010,"$433,260"
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2011,"$894,477"
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2008,"$300,563"
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2009,
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2010,"$803,844"
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2011,"$493,388"
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2008,"$1,200,583"
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2009,"$1,130,109"
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2010,"$1,043,353"
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2011,"$1,158,393"
National Institute of Child Health and Human Development (NIH/NICHD),2008,"$2,258,337"
National Institute of Child Health and Human Development (NIH/NICHD),2009,"$2,797,005"
National Institute of Child Health and Human Development (NIH/NICHD),2010,"$3,448,493"
National Institute of Child Health and Human Development (NIH/NICHD),2011,"$3,249,584"
National Institute on Drug Abuse (NIH/NIDA),2008,"$273,956"
National Institute on Drug Abuse (NIH/NIDA),2009,"$401,250"
National Institute on Drug Abuse (NIH/NIDA),2010,"$597,488"
National Institute on Drug Abuse (NIH/NIDA),2011,"$589,537"
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2008,"$506,195"
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2009,"$3,471,122"
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2010,"$2,750,054"
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2011,"$2,530,620"
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2008,"$2,718,355"
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2009,"$4,229,380"
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2010,"$3,565,654"
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2011,"$4,332,634"
National Institute of Environmental Health Sciences (NIH/NIEHS),2008,"$3,662,248"
National Institute of Environmental Health Sciences (NIH/NIEHS),2009,"$4,382,412"
National Institute of Environmental Health Sciences (NIH/NIEHS),2010,"$2,518,861"
National Institute of Environmental Health Sciences (NIH/NIEHS),2011,"$675,110"
National Institute of General Medical Sciences (NIH/NIGMS),2008,"$3,204,420"
National Institute of General Medical Sciences (NIH/NIGMS),2009,"$5,682,751"
National Institute of General Medical Sciences (NIH/NIGMS),2010,"$4,313,270"
National Institute of General Medical Sciences (NIH/NIGMS),2011,"$4,056,203"
National Institute of Mental Health (NIH/NIMH),2008,"$8,794,682"
National Institute of Mental Health (NIH/NIMH),2009,"$7,780,451"
National Institute of Mental Health (NIH/NIMH),2010,"$5,935,606"
National Institute of Mental Health (NIH/NIMH),2011,"$3,560,270"
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2008,"$33,499,357"
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2009,"$37,351,707"
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2010,"$38,711,603"
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2011,"$37,885,908"
National Institute of Nursing Research (NIH/NINR),2008,"$3,547,310"
National Institute of Nursing Research (NIH/NINR),2009,"$3,313,929"
National Institute of Nursing Research (NIH/NINR),2010,"$3,111,027"
National Institute of Nursing Research (NIH/NINR),2011,"$2,080,466"
Office of the Director (NIH/OD),2008,
Office of the Director (NIH/OD),2009,
Office of the Director (NIH/OD),2010,"$1,732,986"
Office of the Director (NIH/OD),2011,"$5,457,150"
National Institutes of Health (NIH),2008,"$276,801,953"
National Institutes of Health (NIH),2009,"$358,965,642"
National Institutes of Health (NIH),2010,"$359,544,797"
National Institutes of Health (NIH),2011,"$307,536,014"
Administration on Aging (AoA),2008,"$5,482,442"
Administration on Aging (AoA),2009,"$6,723,755"
Administration on Aging (AoA),2010,"$4,215,853"
Administration on Aging (AoA),2011,"$3,227,887"
Agency for Healthcare Research and Quality (AHRQ),2008,"$133,643"
Agency for Healthcare Research and Quality (AHRQ),2009,"$285,380"
Agency for Healthcare Research and Quality (AHRQ),2010,"$8,875,861"
Agency for Healthcare Research and Quality (AHRQ),2011,"$480,641"
Alzheimer's Association,2008,"$23,223,972"
Alzheimer's Association,2009,"$14,697,186"
Alzheimer's Association,2010,"$13,159,432"
Alzheimer's Association,2011,"$11,666,775"
Alzheimer's Drug Discovery Foundation,2008,"$3,554,406"
Alzheimer's Drug Discovery Foundation,2009,"$3,400,099"
Alzheimer's Drug Discovery Foundation,2010,"$5,955,450"
Alzheimer's Drug Discovery Foundation,2011,"$5,084,685"
Alzheimer's Research UK,2008,"$437,082"
Alzheimer's Research UK,2009,"$3,796,919"
Alzheimer's Research UK,2010,"$5,481,051"
Alzheimer's Research UK,2011,"$4,007,670"
Centers for Disease Control and Prevention (CDC),2008,"$1,198,513"
Centers for Disease Control and Prevention (CDC),2009,"$1,199,829"
Centers for Disease Control and Prevention (CDC),2010,
Centers for Disease Control and Prevention (CDC),2011,"$240,000"
Department of Veterans Affairs (VA),2008,
Department of Veterans Affairs (VA),2009,
Department of Veterans Affairs (VA),2010,"$14,471,715"
Department of Veterans Affairs (VA),2011,"$5,617,012"
United States Army Medical Research and Materiel Command ,2008,
United States Army Medical Research and Materiel Command ,2009,
United States Army Medical Research and Materiel Command ,2010,
United States Army Medical Research and Materiel Command ,2011,"$12,992,586"
