"","FundingOrganization","FY","A1..Amyloid","A2..Tau","A3..Presenilins","A4..ApoE.and.Lipids","A5..Brain.Circuits.and.Synapses","A6..Cell.Death","A7..Immunity.and.Inflammation","A8..Bioenergetics","A9..Vascular..Metabolic.Factors","A10..Hormones","A11..Genetics","A12..Other.Pathogenic.Mechanisms","A..Molecular.Pathogenesis.and.Physiology.of.Alzheimer.s.Disease..Total.Funding.","B1..Fluid.Biomarkers","B2..Imaging.Biomarkers","B3..Cognitive..Behavioral.and.Functional.Assessment","B4..Multimodal.Biomarkers","B5..Novel.Biomarkers","B6..Novel.Methodologies.and.Techniques","B7..Other","B..Diagnosis..Assessment.and.Disease.Monitoring..Total.Funding.","C1..Drug.Discovery..small.molecules.and.biologics.","C2..Preclinical.Drug.Development..small.molecules.and.biologics.","C3..Preclinical.Proof.of.Concept.for.Non.Pharmacological.Interventions","C4..Clinical.Trial.Design","C5..Early.stage.Clinical.Drug.Development..Phase.I.and.II.Clinical.Trials.","C6..Late.Stage.Clinical.Drug.Development...Phase.III.Clinical.Trials.","C7..Non.Pharmacological.Interventions..Clinical.Trials","C8..Clinical.Therapy.Development.for.the.Neuropsychiatric.Symptoms.of.AD","C9..Clinical.Ethics","C10..Other","C..Translational.Research.and.Clinical.Interventions..Total.Funding.","D1..Genetic..Epigenetic.Risks","D2..Cardiovascular.and.Metabolic.Factors","D3..Nutrition.and.Other.Environmental.Factors","D4..Multimodal.Risk.Factors","D5..Other","D..Epidemiology..Total.Funding.","E1..Care.Interventions.and.Quality.of.Life","E2..Technology.Assisted.Care","E3..Caregiver.Support","E4..Cultural.Values.and.Beliefs","E5..Economic.Burden.of.Alzheimer.s.Disease","E6..Other","E..Care..Support.and.Health.Economics.of.Alzheimer.s.Disease..Total.Funding.","TotalADResearchFunding"
"3","Fogarty International Center (NIH/FIC)",2010,0,57904,0,0,0,0,83296,0,0,0,0,0,141200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142591,0,142591,0,0,0,0,0,0,0,283791
"7","National Center for Complementary and Alternative Medicine (NIH/NCCAM)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127778,0,0,127778,0,0,1512632,0,0,0,241601,0,0,0,1754233,0,0,0,0,0,0,0,0,0,0,0,0,0,1882011
"11","National Cancer Institute (NIH/NCI)",2010,1069094,0,0,0,0,0,462576,0,0,0,0,68636,1600306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600306
"15","National Institute on Minority Health and Health Disparities (NIH/NIMHD)",2010,0,0,219658,0,0,0,0,0,0,0,0,0,219658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219658
"19","National Center for Research Resources (NIH/NCRR)",2010,11066,0,0,0,0,0,0,190270,0,0,0,0,201336,0,1034435,54827,216047,0,0,0,1305309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039,0,3039,0,0,0,0,0,0,0,1509684
"23","National Eye Institute (NIH/NEI)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269033,269033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269033
"27","National Human Genome Research Institute (NIH/NHGRI)",2010,0,0,0,0,0,0,0,0,0,0,889184,0,889184,0,0,0,0,0,601513,0,601513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490697
"31","National Heart, Lung, and Blood Institute (NIH/NHLBI)",2010,0,0,0,791796,0,0,0,0,0,0,0,0,791796,0,3360279,0,372460,0,0,0,3732739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4524535
"35","National Institute on Aging (NIH/NIA)",2010,33838530,5700568,2350438,9305979,9658427,5898311,10181577,1694990,3859958,3298068,21422936,478595,107688377,4268799,32091196,12952314,18893660,3768757,1236889,0,73211615,9892526,10513724,258785,54886,7653056,9653219,10716817,2942712,992589,0,52678314,6184508,3177473,1706152,27450971,187659,38706763,1648099,0,3503351,0,1582722,0,6734172,279019241
"39","National Institute of Allergy and Infectious Diseases (NIH/NIAID)",2010,433260,0,0,0,0,0,0,0,0,0,0,0,433260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433260
"43","National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS)",2010,803844,0,0,0,0,0,0,0,0,0,0,0,803844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803844
"47","National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB)",2010,40648,0,0,0,0,0,0,0,0,0,0,0,40648,0,661281,0,0,0,341424,0,1002705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043353
"51","National Institute of Child Health and Human Development (NIH/NICHD)",2010,973688,0,0,9422,588346,0,0,50654,421083,0,0,0,2043193,0,0,137144,1050182,0,0,0,1187326,0,0,0,0,0,0,0,0,0,0,0,217974,0,0,0,0,217974,0,0,0,0,0,0,0,3448493
"55","National Institute on Drug Abuse (NIH/NIDA)",2010,0,0,0,0,225000,0,372488,0,0,0,0,0,597488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597488
