Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,
Medicines in Development for Alzheimer’s Disease,Medicines in Development for Alzheimer’s Disease,Medicines in Development for Alzheimer’s Disease,,
"Alzheimer’s Disease, Diagnostics","Alzheimer’s Disease, Diagnostics",,,
Product Name,Sponsor,Indication,Development Phase,Development Phase
F18-florbetaben,IBA Molecular,Alzheimer’s disease (diagnosis),application submitted,application submitted
(PET/SPECT imaging agent),"Dulles, VA",,www.iba-molecular.com,www.iba-molecular.com
,Piramal Healthcare,,www.piramal.com,www.piramal.com
,"Mumbai, India",,,
F18-flutemetamol,GE Healthcare,Alzheimer’s disease (diagnosis),application submitted,application submitted
(PET imaging agent),"Waukesha, WI",,www.gehealthcare.com,www.gehealthcare.com
LymPro ®,Amarantus BioSciences,Alzheimer’s disease (diagnosis),Phase II,Phase II
neurotrophic factor companion,"Sunnyvale, CA",,www.amarantus.com,www.amarantus.com
diagnostic,,,,
NAV4694,Navidea Biopharmaceuticals,Alzheimer’s disease (diagnosis),Phase III,Phase III
(fluorine-18 labeled precision,"Dublin, OH",,www.navidea.com,www.navidea.com
radiopharmaceutical),,,,
NAV5001,Navidea Biopharmaceuticals,dementia with Lewy bodies,Phase II,Phase II
(123I-labelled imaging agent),"Dublin, OH",(diagnosis),www.navidea.com,www.navidea.com
pioglitazone companion diagnostic,Takeda Pharmaceuticals U.S.A.,Alzheimer’s disease (diagnosis),Phase III,Phase III
(AD4833/TOMM40),"Deerfield, IL",,www.takeda.com,www.takeda.com
,Zinfandel Pharmaceuticals,,,
,"Chapel Hill, NC",,,
tau imaging agent,Avid Radiopharmaceuticals,Alzheimer’s disease (diagnosis),Phase I,Phase I
(PET imaging agent),"Philadelphia, PA",,www.lilly.com,www.lilly.com
,Eli Lilly,,,
