Name: “Table 1 of 1 on page 7 of 12”,Name: “Table 1 of 1 on page 7 of 12”,Name: “Table 1 of 1 on page 7 of 12”,Name: “Table 1 of 1 on page 7 of 12”
Table: 7,Table: 7,Table: 7,Table: 7
,,,
Medicines in Development for Alzheimer’s Disease,Medicines in Development for Alzheimer’s Disease,Medicines in Development for Alzheimer’s Disease,
"Alzheimer’s Disease, Therapeutics","Alzheimer’s Disease, Therapeutics",,
Product Name,Sponsor,Indication,Development Phase
E2212,Eisai,Alzheimer’s disease,Phase I completed
(amyloid precursor protein,"Woodcliff Lake, NJ",,www.eisai.com
secretase modulator),,,
E2609,Eisai,Alzheimer’s disease,Phase I completed
(BACE1 protein inhibitor),"Woodcliff Lake, NJ",,www.eisai.com
ELND005,Speranza Therapeutics,neuropsychiatric symptoms in,Phase II
,"Dublin, Ireland",Alzheimer’s disease,
,,(Fast Track),
EVP-0962,EnVivo Pharmaceuticals,Alzheimer’s disease,Phase I
(gamma secretase modulator),"Watertown, MA",,www.envivopharma.com
EVP-6124,EnVivo Pharmaceuticals,Alzheimer’s disease,Phase II
(alpha7 nicotinic acetylcholine,"Watertown, MA",,www.envivopharma.com
receptor agonist),,,
Exebryl-1 ®,ProteoTech,Alzheimer’s disease,Phase I
(amyloid-beta-protein/tau protein,"Kirkland, WA",,www.proteotech.com
inhibitor),,,
gantenerumab,Roche,early stage Alzheimer’s disease,Phase II/III
(RG1450),"Nutley, NJ",,www.roche.com
GM6,Genervon Biopharmaceuticals,Alzheimer’s disease,Phase I
(peptide therapeutic),"Pasadena, CA",,www.genervon.com
GSK2647544,GlaxoSmithKline,Alzheimer’s disease,Phase I
(Lp-PLA2 inhibitor),"Rsch. Triangle Park, NC",,www.gsk.com
HPP854,Transtech Pharma,Alzheimer’s disease,Phase I
(BACE1 inhibitor),"High Point, NC",,www.ttpharma.com
JNJ-54861911,Janssen Research & Development,Alzheimer’s disease,Phase I
,"Raritan, NJ",,www.janssenrnd.com
KU-046,Kareus Therapeutics,Alzheimer’s disease,Phase I
(amyloid beta-protein modulator),"La Chaux-de-Fonds, Switzerland",,www.kareustherapeutics.com
LMTXTM,TauRx Pharmaceuticals,"Alzheimer’s disease,",Phase III
tau aggregation inhibitor,Singapore,frontotemporal dementia,www.taurx.com
Lu AE58054,Lundbeck,Alzheimer’s disease (cognition),Phase II
(5-HT6 receptor antagonist),"Deerfield, IL",,www.lundbeck.com
,Otsuka America Pharmaceutical,,www.otsuka.com
,"Rockville, MD",,
Medicines in Development,Alzheimer’s Disease 2013,,7
